Code,Name,Market,Marcap
0115H0,삼성스팩13호,KOSDAQ,14589750000
473050,유안타제15호스팩,KOSDAQ,14580800000
225590,패션플랫폼,KOSDAQ,14544707840
377220,프롬바이오,KOSDAQ,14523030000
035620,바른손이앤에이,KOSDAQ,14515736040
131100,티엔엔터테인먼트,KOSDAQ,14511025800
208640,썸에이지,KOSDAQ,14480986000
069920,엑시온그룹,KOSDAQ,14393455000
019685,대교우B,KOSPI,14259410660
478440,미래에셋비전스팩6호,KOSDAQ,14206500000
479880,한국제15호스팩,KOSDAQ,14083500000
0165X0,메리츠제2호스팩,KOSDAQ,14081800000
291810,핀텔,KOSDAQ,14006253184
000087,하이트진로2우B,KOSPI,13900697400
0099W0,미래에셋비전스팩11호,KOSDAQ,13860000000
177350,베셀,KOSDAQ,13783032890
285800,진영,KOSDAQ,13754611490
002070,비비안,KOSPI,13680717360
304840,피플바이오,KOSDAQ,13643890260
001795,대한제당우,KOSPI,13613796000
352770,셀레스트라,KOSDAQ,13610136750
900100,파이온엑스,KOSDAQ,13453927500
113810,디젠스,KOSDAQ,13442756600
244460,올리패스,KOSDAQ,13415218661
489480,키움제11호스팩,KOSDAQ,13365000000
0134X0,대신밸런스제20호스팩,KOSDAQ,13311500000
0164H0,한국제16호스팩,KOSDAQ,13162500000
481890,엔에이치스팩31호,KOSDAQ,13134150000
0096B0,삼성스팩12호,KOSDAQ,13120520000
005257,녹십자홀딩스2우,KOSPI,13070545500
0099X0,IBKS제25호스팩,KOSDAQ,13036400000
00806K,대덕1우,KOSPI,12972219900
0097F0,미래에셋비전스팩10호,KOSDAQ,12954500000
489730,디비금융제13호스팩,KOSDAQ,12822300000
0093G0,미래에셋비전스팩8호,KOSDAQ,12736000000
471050,대신밸런스제17호스팩,KOSDAQ,12726000000
478390,KB제29호스팩,KOSDAQ,12719900000
054180,메디콕스,KOSDAQ,12686716395
0037T0,KB제32호스팩,KOSDAQ,12628350000
240600,유진테크놀로지,KOSDAQ,12484528102
